		名詞	
「はうは	todo:	名詞	
ーー	ーーーーここまでブログにした	名詞	
ーると	ールト	名詞	
あいかく	間隔	名詞	
あいだかく	間隔	名詞	
あおせん	粟生線	抑制単語	
あきじかく	空き時間	名詞	
あくくる	アンクル	名詞	
あくない	案内	名詞	
あげきちょう	阿下喜町	抑制単語	
あさ	麻	抑制単語	
あしたいこう	明日以降	名詞	
あたらし	新	名詞	
あつ	集	名詞	
あつめ	集	名詞	
あの	()	名詞	
あば	約	名詞	
あばう	約	名詞	
あまやって	誤って	名詞	
あやさ	操作	名詞	
あらおさ	改修	名詞	
あるけん	案件	名詞	
あるけん	ある件	名詞	
あるす	あるい	名詞	
あん	ある	名詞	
い	イ	抑制単語	
い	の	名詞	
いいい	良いの	名詞	
いーち	各	名詞	
いいなて	いいなら	名詞	
いいんじゃうい	いいんじゃない	名詞	
いいんゃじない	いいんじゃない	名詞	
いう	位う	抑制単語	
いうい	いない	名詞	
いおき	位置	名詞	
いおり	移行	名詞	
いきつき	生月	抑制単語	
いくきゅな	育休	名詞	
いけうい	いけない	名詞	
いけな	行けな	名詞	
いけな	池な	抑制単語	
いしおう	一応	名詞	
いしぎょう	1行	名詞	
いしど	一度	名詞	
いしらん	一覧	名詞	
いすね	いいね	名詞	
いそる	入れる	名詞	
いたしはす	いたします	名詞	
いち	イチ	抑制単語	
いちぎょう	1行	名詞	
いちだ	1台	名詞	
いちてん	一覧	名詞	
いちねんまえ	1年前	名詞	
いちばく	一番	名詞	
いちぶぶん	一部分	名詞	
いちもじ	1文字	名詞	
いっほう	一方	名詞	
いとき	の時	名詞	
いどせん	挑戦	名詞	
いない	イない	抑制単語	
いなく	意なく	抑制単語	
いはす	います	名詞	
いほ	色	名詞	
いまい	今の	名詞	
いまはんき	今半期	名詞	
いままでどおり	今まで通り	名詞	
いみぐ	<img width="370" alt="	名詞	
いわん	曰く	名詞	
いんきゅう	育休	名詞	
いんじ	育児	名詞	
いんひ	インチ	名詞	
うぃーく	週間	名詞	
ういざん	初参	抑制単語	
うーや	↑	名詞	
うぇいつ	待つ	名詞	
うえか	上	名詞	
うえがわ	上川	抑制単語	
うえがわ	上側	名詞	
うえげれる	上げれる	名詞	
うぇざ	天気	名詞	
うえや	↑	名詞	
うか	上	名詞	
うけいれし	受け入れ資料	短縮よみ	
うこう	移行	名詞	
うたらしい	新しい	名詞	
うち	家	抑制単語	
うつこう	移行	名詞	
うつり	移行	名詞	
うつりこう	移行	名詞	
うはく	上手く	名詞	
うまくいった	上手くいった	名詞	
うや	↑	名詞	
うやまい	敬意	名詞	
うる	ある	名詞	
え	エ	抑制単語	
えく	円	名詞	
えている	エている	抑制単語	
えました	エました	抑制単語	
えらぱ	エラー	名詞	
えられる	エられる	抑制単語	
える	円	名詞	
おうとうしゅう	応答集	名詞	
おうみ	同じ	名詞	
おおの	多い	名詞	
おきがい	意外	名詞	
おぎかん	補完	名詞	
おぎかん	補完	名詞	
おぎかん	補完	名詞	
おきそと	意外	名詞	
おけ	OK	名詞	
おこなな	行う	名詞	
おさないと	幼いと	抑制単語	
おしおい	多い	名詞	
おすと	押すと	名詞	
おてすき	お手隙	名詞	
おなじと	同じ事	名詞	
おの	各	名詞	
おも	思います	名詞	
おもいがい	意外	名詞	
おもいき	思いきや	名詞	
おもいき	思い出して	名詞	
おもいす	思います	名詞	
おもいまの	思います	名詞	
おもきろい	面白い	名詞	
おもな	思う	名詞	
おわったて	終わってた	名詞	
おわりましさ	終わりました	名詞	
かいいう	回数	名詞	
かいぎょう	開業	抑制単語	
かいご	会	名詞	
がいしゃ	外車	抑制単語	
かいち	開始	名詞	
かいて	描いて	抑制単語	
かいとな	回答	名詞	
かいはか	開発	名詞	
がいよな	概要	名詞	
かう	かな	名詞	
かえい	返す	名詞	
かえかえ	変換	名詞	
かえって	kaeltutenn	抑制単語	
かえりね	返り値	名詞	
かき	描き	抑制単語	
かぎか	[]	名詞	
かきたい	書きたい	名詞	
かく	描く	抑制単語	
かくか	[]	名詞	
かくたち	確立	名詞	
かくたて	確立	名詞	
かくに	確認	名詞	
かくにく	かくにく	抑制単語	
かくにく	確認	名詞	
かくの	各の	抑制単語	
かくひりつ	確率	名詞	
かくろ	確保	名詞	
かけ	カケ	抑制単語	
かける	欠	抑制単語	
かこ	加古	抑制単語	
かこう	書こう	名詞	
かさ	方	名詞	
がし	貸し	名詞	
かしい	確か	名詞	
かじゅつ	下述	名詞	
がぞう	臥像	抑制単語	
がぞな	画像	名詞	
がつ	ガツ	抑制単語	
かつないと	書かないと	名詞	
かっは	【】	名詞	
かて	から	名詞	
かひ	加筆	名詞	
かほつ	ヶ月	名詞	
かみしりょう	神資料	名詞	
かみに	髪に	名詞	
かや	～	名詞	
かよ	火	名詞	
がようる	がある	名詞	
からー	色	名詞	
